date	Keiko	PPK	Verónika
19:00	19.05	7.69	16.67
19:05	6.9	25.0	4.17
19:10	29.27	6.45	5.41
19:15	11.11	10.26	12.0
19:20	23.81	22.5	14.63
19:25		28.57	6.67
19:30	19.05	17.5	21.36
19:35	9.76	22.22	19.54
19:40	11.16	18.06	10.17
19:45	6.67	19.59	16.36
19:50	14.58	16.0	16.22
19:55	14.29	10.31	11.19
20:00	14.29	19.87	12.23
20:05	20.41	22.94	11.03
20:10	14.29	21.88	10.0
20:15	15.79	19.15	12.5
20:20	17.65	19.05	10.28
20:25	12.04	11.43	16.22
20:30	16.73	13.04	21.88
20:35	20.25	20.87	20.0
20:40	16.36	26.32	4.41
20:45	13.87	20.0	20.1
20:50	13.57	17.78	15.79
20:55	14.1	14.13	17.39
21:00	11.36	20.98	20.41
21:05	4.0	17.05	15.79
21:10	14.04	16.39	17.5
21:15	14.91	22.64	16.67
21:20	14.19	17.53	11.48
21:25	18.29	12.31	16.07
21:30	13.85	13.46	18.37
21:35	6.06	15.38	18.18